wall_time,gain,lux_est,raw_R,raw_G,raw_B,raw_IR,raw_CLR1,raw_CLR2,cal_R,cal_G,cal_B,cal_IR,cal_CLR1,cal_CLR2
1779232424.021765,33.0,231.33987386921152,753894.62,836578.19,156307.38,7572103.0,929382.56,6989808.5,792.814922285288,748.294032735151,522.8631162590709,2937.8819854408953,189.31787591709022,1417.0376740954298
1779232424.149138,33.0,231.3377141614442,754157.69,836570.38,156375.94,7587199.5,930193.75,7003680.0,793.0915734459046,748.2870469250192,523.092456007781,2943.7392400758636,189.48311763172404,1419.8498309801591
1779232424.276607,33.0,231.335535096501,752533.56,836562.5,155677.73,7543314.0,927477.94,6962171.0,791.3835966735925,748.2799985019926,520.7568768661996,2926.712210745694,188.9298993955282,1411.434748247345
1779232424.406068,33.0,231.11486329133757,753115.31,835764.5,155959.55,7544423.0,927869.38,6962945.5,791.9953798974062,747.5662115000596,521.6995916850656,2927.142488981721,189.00963683900787,1411.5917619450145
1779232424.532182,33.0,230.9874515943087,753066.69,835303.75,155907.92,7539907.0,927465.81,6959009.5,791.9442498581421,747.1540844810864,521.5268844034744,2925.3903370305056,188.92742847996155,1410.79382015802
1779232424.659927,33.0,231.305445749233,753080.56,836453.69,155206.33,7546013.5,927576.06,6964661.5,791.9588359059536,748.1826712292102,519.1799988390421,2927.7595832417755,188.94988671913904,1411.9396451021494
1779232424.787473,33.0,231.02948431910173,754180.5,835455.75,156389.47,7584369.5,930132.06,7001326.5,793.1155610270567,747.290043910026,523.1377151501388,2942.641235199438,189.47055120292717,1419.372708013774
1779232424.914914,33.0,231.12300436645538,753020.0,835793.94,156216.83,7562115.0,928580.44,6980544.0,791.895149456389,747.5925446947174,522.5602178599214,2934.0067654035315,189.15448178730298,1415.1594902322156
1779232425.042357,33.0,231.05604789504662,754408.88,835551.81,155743.73,7562392.0,928017.06,6980519.0,793.35573129376,747.3759666912362,520.9776531703836,2934.1142379656408,189.03971967584897,1415.1544220044018
1779232425.169763,33.0,231.594160792966,754317.5,837497.75,156183.83,7591001.0,929944.94,7007163.5,793.2596337415603,749.1165515014386,522.4498297078293,2945.21417489485,189.43243432569457,1420.5560378437249
1779232425.297686,33.0,231.33283891843038,753408.19,836552.75,155908.77,7540258.5,926528.12,6959094.5,792.3033800187478,748.2712774202021,521.5297277346646,2925.5267146679844,188.7364183548429,1410.8110521325866
1779232425.424648,33.0,230.83916180042542,752999.19,834767.5,156122.89,7558717.0,927734.88,6977139.0,791.8732651265436,746.674424982607,522.2459795869661,2932.688383576643,188.9822388057256,1414.4691976039846
1779232425.552677,33.0,230.88688000430886,753389.31,834940.06,155371.36,7544285.5,927958.38,6963084.5,792.2835253264135,746.8287747132506,519.7320399523679,2927.089140688255,189.0277663926296,1411.619941291659
1779232425.678374,33.0,231.3019199779099,754036.56,836440.94,156028.09,7553002.0,928348.81,6971624.0,792.9641900305191,748.171266737638,521.9288645318652,2930.471034506405,189.1072980962311,1413.3511465482748
1779232425.805213,33.0,231.5128440623565,753571.0,837203.69,155674.34,7544657.0,927108.75,6963944.0,792.4745951913635,748.853523674636,520.7455369923937,2927.23327807751,188.85469434045396,1411.794186963895
1779232425.932882,33.0,230.96007501697642,753487.62,835204.75,156214.28,7571575.0,929329.94,6988731.5,792.3869106443905,747.0655319582902,522.5516878663507,2937.6771279939862,189.30715707313993,1416.819334841214
1779232426.060365,33.0,231.1384541581277,753790.38,835849.81,156290.45,7572677.0,928694.75,6989740.5,792.705300827187,747.6425187295521,522.8064837919522,2938.1046903168913,189.1777670600502,1417.0238885157764
1779232426.187706,33.0,231.30057050621923,752324.12,836436.06,156269.3,7550413.0,927479.94,6968261.5,791.1633441967629,748.1669017243931,522.7357350217477,2929.4665346388906,188.93030680122754,1412.6694699073273
1779232426.315058,33.0,230.5808126350446,752885.0,833833.25,155862.22,7554400.0,928278.0,6972382.5,791.753179993192,745.8387664530883,521.3740135383044,2931.0134411556073,189.09287389744506,1413.5049165801433
1779232426.445299,33.0,231.21273870326684,754247.06,836118.44,155735.28,7556767.0,927951.31,6974557.5,793.1855572305411,747.8828001861049,520.949387113257,2931.9318077783987,189.02632621348235,1413.9458523999383
1779232426.573404,33.0,231.03598279957964,753934.31,835479.25,155425.53,7567621.0,928983.0,7001172.5,792.856661307468,747.3110639533161,519.9132437765749,2936.143025067701,189.23648440647113,1419.3414877304413
1779232426.700827,33.0,230.9557362442659,754064.38,835189.06,155949.39,7578855.5,929935.81,6995467.0,792.9934462561941,747.051497725132,521.6656055146034,2940.5018716345576,189.430574518677,1418.1848167787907
1779232426.828896,33.0,231.21382823573842,753136.19,836122.38,155708.2,7540813.5,926565.56,6960108.5,792.0173378410473,747.8863243976183,520.8588019266313,2925.742047779792,188.744044989535,1411.0166194527117
1779232426.956331,33.0,231.01863047404828,753914.5,835416.5,155733.58,7577857.0,929549.44,6994536.0,792.8358286032759,747.2549359653821,520.9437004508765,2940.114466027098,189.3518698486452,1417.996075975007
1779232427.083371,33.0,231.36970327726038,752889.0,836686.06,155781.83,7544996.0,927777.31,6963697.5,791.7573864958053,748.3905192062018,521.1051013096171,2927.364805870128,188.9908819176376,1411.7442142376517
1779232427.210291,33.0,231.1663837976283,753912.5,835950.81,156161.81,7602015.5,930881.56,7016379.5,792.8337253519693,747.7328601922027,522.3761707045243,2949.487664192162,189.6232264887641,1422.4243893449805
1779232427.338333,33.0,231.02867131771433,754894.31,835452.81,156378.47,7575029.0,929643.5,6991953.0,793.8662219346468,747.28741416844,523.1009190994414,2939.01723712585,189.37103013868634,1417.4724266772919
1779232427.465459,33.0,231.18318306099133,752786.75,836011.56,155520.31,7546846.5,926522.06,6965411.0,791.6498577727542,747.7871992402822,520.2302919297653,2928.0827769032817,188.73518391557383,1412.091590572005
1779232427.593162,33.0,231.3518172467366,754093.19,836621.38,155876.61,7544840.5,926635.38,6963067.0,793.023743591266,748.3326648913082,521.4221494628075,2927.3044738000626,188.75826752249984,1411.6163935321892
1779232427.720325,33.0,231.44533452877943,753617.62,836959.56,156460.56,7572575.5,929764.88,6988678.5,792.5236219793209,748.6351567313004,523.3755179905091,2938.065309576624,189.3957555905808,1416.8085901982488
1779232427.848044,33.0,230.865188906067,752881.06,834861.62,155980.7,7541688.5,926842.69,6960637.0,791.7490365881181,746.7586124921582,521.7703404552701,2926.0815369200295,188.80049716026747,1411.123761788694
1779232427.975410,33.0,231.67169181303325,753357.56,837778.12,155808.06,7551718.5,927400.06,6970930.5,792.2501362119208,749.3673340349372,521.1928431650528,2929.973052436125,188.91403501759495,1413.2105539087217
1779232428.103309,33.0,231.45183300925729,753519.38,836983.06,155925.7,7563529.0,929114.5,6980835.0,792.4203102751396,748.6561767745903,521.5863602017834,2934.5553798541555,189.26327133120438,1415.2184844039675
1779232428.230480,33.0,231.45943761407182,754108.06,837010.56,156131.34,7556460.0,927875.44,6974294.5,793.0393812647309,748.6807746975893,522.2742456440926,2931.812695588624,189.01087127827694,1413.892534643338
1779232428.357677,33.0,230.84864958192313,753207.62,834801.81,155395.06,7542494.5,927115.81,6960907.5,792.0924554614633,746.7051142458105,519.8113187161432,2926.3942549166372,188.85613248257275,1411.1786000136387
1779232428.485059,33.0,231.35045118318084,753424.06,836616.44,155956.16,7556184.0,928053.44,6974599.5,792.320069317866,748.3282462098676,521.6882518112598,2931.7056110141034,189.04713038552038,1413.9543670226656
1779232428.613029,33.0,231.22575225608762,753582.88,836165.5,156104.27,7575436.5,930656.0,6992559.5,792.4870885041248,747.9248939408806,522.183693908422,2939.1753420683035,189.57727927398972,1417.5953818840533
1779232428.739071,33.0,231.20650016200807,753361.5,836095.88,156060.27,7541734.5,927287.75,6960176.0,792.2542796169948,747.8626209445465,522.0365097056325,2926.0993843491165,188.89115715054712,1411.0303036678088
1779232428.866254,33.0,231.3396139299924,754320.5,836577.25,156583.28,7618605.5,931830.31,7033304.0,793.2627886185203,748.2931919334194,523.7860281124708,2955.924378291067,189.81648956740023,1425.8554782103233
1779232428.993275,33.0,230.99505619912324,753180.88,835331.25,155881.69,7541349.5,926810.38,6959842.0,792.0643349914938,747.1786824040853,521.4391425480387,2925.9500091274117,188.79391552119424,1410.9625921442173
1779232429.121535,33.0,231.13086891048903,753621.62,835822.38,156323.47,7544378.0,927966.5,6963689.0,792.5278284819341,747.6179834194479,522.9169388459546,2927.125029540223,189.029420459769,1411.7424910401949
1779232429.249087,33.0,231.29569802851623,752851.25,836418.44,156029.8,7543905.0,926356.19,6962205.5,791.7176876273928,748.1511411642753,521.9345846452009,2926.9415114107,188.70139572389698,1411.4417424017279
1779232429.375975,33.0,231.2745434005776,754670.94,836341.94,155952.78,7557174.5,927988.75,6975507.0,793.6313203124665,748.0827142148418,521.6769453884091,2932.089912720852,189.03395284817444,1414.138343692304
