wall_time,type,session,nfloats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,accuracy
1779232992.093527,0,1,14,-273913921667072.00,0.00,792208.25,883994.25,165007.44,8069538.50,982752.50,7449361.00,33.00,33.00,33.00,33.00,33.00,33.00,742349414286
1779232992.222547,0,1,14,-12162524947574423552.00,0.00,794112.31,886120.62,164979.52,8055466.00,980642.50,7437198.50,33.00,33.00,33.00,33.00,33.00,33.00,742478367224
1779232992.351344,0,1,14,-500417868912039871643648.00,0.00,793807.50,887265.69,165323.95,8042492.50,981453.75,7426013.50,33.00,33.00,33.00,33.00,33.00,33.00,742607023978
1779232992.479890,0,1,14,-20283931169021916955113684992.00,0.00,794775.44,886655.88,165489.84,8088691.50,984077.50,7468264.50,33.00,33.00,33.00,33.00,33.00,33.00,742735942899
1779232992.607317,0,1,14,-871201076359610921822930484592640.00,0.00,793909.75,883966.81,165603.25,8108258.50,985414.69,7485405.50,33.00,33.00,33.00,33.00,33.00,33.00,742864441450
1779232992.735558,0,1,14,-32633846891915038660570877750008610816.00,0.00,794649.38,884700.12,164583.44,8063229.00,984228.25,7443563.50,33.00,33.00,33.00,33.00,33.00,33.00,742991882343
1779232992.864028,0,1,14,0.00,0.00,793739.00,885211.88,164556.36,8046493.50,980959.12,7429219.00,33.00,33.00,33.00,33.00,33.00,33.00,743120052525
1779232992.994197,0,1,14,0.00,0.00,795288.69,885533.38,165255.41,8078020.00,982504.69,7442404.50,33.00,33.00,33.00,33.00,33.00,33.00,743250527843
1779232993.122751,0,1,14,0.00,0.00,794421.00,883709.00,165237.64,8022577.00,980392.69,7405793.00,33.00,33.00,33.00,33.00,33.00,33.00,743378745876
1779232993.253582,0,1,14,0.00,0.00,794205.62,886035.31,164975.28,8061892.50,981845.19,7443452.50,33.00,33.00,33.00,33.00,33.00,33.00,743509144778
1779232993.381596,0,1,14,0.00,0.00,795036.50,886190.25,164828.02,8045967.00,982102.06,7427638.00,33.00,33.00,33.00,33.00,33.00,33.00,743637407652
1779232993.512283,0,1,14,0.00,0.00,794423.00,885799.06,165496.61,8043160.00,980958.12,7425591.00,33.00,33.00,33.00,33.00,33.00,33.00,743767903721
1779232993.639390,0,1,14,0.00,0.00,793218.81,885284.38,165464.45,8054250.00,980732.56,7435922.00,33.00,33.00,33.00,33.00,33.00,33.00,743896198171
1779232993.767102,0,1,14,0.00,0.00,794404.12,884979.50,165362.05,8053363.50,982337.75,7434458.50,33.00,33.00,33.00,33.00,33.00,33.00,744022882554
1779232993.895910,0,1,14,115.57,0.00,794388.25,886351.00,165034.52,8049769.00,982808.12,7432795.50,33.00,33.00,33.00,33.00,33.00,33.00,744151786622
1779232994.025809,0,1,14,4855116.00,0.00,794213.56,886518.62,164883.88,8032068.50,980530.25,7416372.00,33.00,33.00,33.00,33.00,33.00,33.00,744280566424
1779232994.153477,0,1,14,203415732224.00,0.00,793851.19,885124.62,165626.09,8078636.00,984720.81,7457536.50,33.00,33.00,33.00,33.00,33.00,33.00,744409100823
1779232994.282546,0,1,14,8208482977185792.00,0.00,794769.50,886265.69,165764.89,8092823.50,983787.25,7471683.50,33.00,33.00,33.00,33.00,33.00,33.00,744537803923
1779232994.410734,0,1,14,329781993688715493376.00,0.00,794031.88,885598.12,164765.39,8071424.00,983115.62,7451938.50,33.00,33.00,33.00,33.00,33.00,33.00,744666105128
1779232994.538887,0,1,14,14121082892595562557734912.00,0.00,795123.88,885380.50,165432.28,8034375.50,980495.88,7417473.00,33.00,33.00,33.00,33.00,33.00,33.00,744794809367
1779232994.666945,0,1,14,563189766757420654799840346112.00,0.00,793248.62,884835.38,165029.44,8023252.50,978387.94,7407470.50,33.00,33.00,33.00,33.00,33.00,33.00,744923297909
1779232994.794296,0,1,14,19563787886726585745128859472232448.00,0.00,794304.88,886715.69,164998.98,8064376.50,982699.88,7446793.00,33.00,33.00,33.00,33.00,33.00,33.00,745050023022
1779232994.923085,0,1,14,-0.00,0.00,794252.25,887139.19,165302.80,8054777.50,982603.81,7436353.00,33.00,33.00,33.00,33.00,33.00,33.00,745178823575
1779232995.051870,0,1,14,-0.00,0.00,794929.31,885415.75,165197.02,8076782.50,982936.56,7459223.00,33.00,33.00,33.00,33.00,33.00,33.00,745307534773
1779232995.181071,0,1,14,-0.00,0.00,793326.06,885567.69,165564.31,8075444.00,982031.31,7454307.00,33.00,33.00,33.00,33.00,33.00,33.00,745436218953
1779232995.310398,0,1,14,-0.00,0.00,793600.06,885943.19,164719.70,8018056.50,978820.81,7402465.00,33.00,33.00,33.00,33.00,33.00,33.00,745565016251
1779232995.436534,0,1,14,-0.00,0.00,793874.06,884698.12,165136.08,8029334.50,981281.75,7414389.00,33.00,33.00,33.00,33.00,33.00,33.00,745693240754
1779232995.564279,0,1,14,-0.00,0.00,793932.62,883655.06,165496.61,8099592.50,983778.12,7477933.00,33.00,33.00,33.00,33.00,33.00,33.00,745819955898
1779232995.692582,0,1,14,-0.00,0.00,793775.75,884109.00,165059.91,8048256.00,978639.81,7429191.00,33.00,33.00,33.00,33.00,33.00,33.00,745948486269
1779232995.819679,0,1,14,-0.00,0.00,793508.69,887019.62,164453.11,8016139.50,980524.19,7398523.50,33.00,33.00,33.00,33.00,33.00,33.00,746075536049
1779232995.948041,0,1,14,-0.04,0.00,794946.19,885113.81,164893.19,8019805.50,979365.00,7403739.00,33.00,33.00,33.00,33.00,33.00,33.00,746203893365
1779232996.077156,0,1,14,-1844.26,0.00,794409.12,887128.44,166148.27,8098912.00,984012.81,7476499.50,33.00,33.00,33.00,33.00,33.00,33.00,746332784698
1779232996.206078,0,1,14,-73831872.00,0.00,794883.62,885435.38,165384.05,8056303.00,982701.88,7437447.50,33.00,33.00,33.00,33.00,33.00,33.00,746461123256
1779232996.334144,0,1,14,-3180698009600.00,0.00,793449.12,884723.62,165006.59,8011980.00,981345.50,7395490.00,33.00,33.00,33.00,33.00,33.00,33.00,746589856792
